solution,f1,f2,f3
"[0, 5, 6, 7, 16, 24, 28, 29, 30, 46]",503.0089462425097,110,20
"[0, 1, 3, 16, 18, 22, 24, 29, 30, 45]",310.94211679989576,118,46
"[0, 3, 11, 16, 24, 28, 29, 30, 46, 47]",295.7431317883815,127,71
"[0, 2, 3, 5, 7, 10, 25, 28, 30, 32]",287.4717377412952,150,110
"[0, 1, 4, 5, 7, 25, 28, 30, 32, 49]",280.1660222082614,155,126
"[0, 1, 3, 6, 16, 24, 28, 29, 30, 45]",298.41246622753545,126,67
"[0, 1, 4, 5, 14, 19, 20, 23, 28, 31]",377.0053050024628,113,63
"[0, 2, 3, 7, 10, 24, 28, 30, 32, 46]",295.1948509036023,150,107
"[0, 1, 3, 6, 16, 21, 25, 28, 29, 31]",301.08636634693374,128,66
"[0, 1, 3, 16, 22, 24, 29, 30, 41, 45]",298.41246622753545,124,69
"[0, 1, 3, 16, 18, 19, 22, 24, 29, 30]",335.08954027244715,115,43
"[0, 1, 4, 7, 16, 18, 27, 28, 31, 45]",377.0053050024628,115,27
"[0, 1, 3, 16, 24, 28, 29, 30, 41, 46]",305.8512710452582,122,69
"[0, 16, 18, 21, 26, 28, 29, 30, 45, 49]",402.61271713645607,109,25
