solution,f1,f2,f3
"[0, 1, 3, 6, 16, 24, 28, 29, 35, 45]",298.41246622753545,126,67
"[0, 1, 3, 16, 18, 22, 25, 29, 30, 45]",318.5231545743574,118,42
"[1, 13, 20, 22, 24, 29, 30, 43, 45, 49]",373.048254251377,113,41
"[0, 1, 3, 6, 16, 21, 25, 28, 29, 35]",301.08636634693374,128,66
"[0, 1, 3, 16, 19, 21, 26, 28, 31, 45]",355.31676008879737,119,40
"[0, 4, 6, 7, 16, 27, 28, 31, 45, 47]",377.0053050024628,115,38
"[0, 2, 3, 5, 7, 10, 25, 28, 30, 32]",287.4717377412952,150,110
"[0, 16, 18, 21, 24, 27, 29, 30, 45, 49]",402.61271713645607,109,27
"[0, 2, 3, 10, 20, 25, 28, 30, 32, 41]",293.64093720052045,153,108
"[0, 3, 11, 16, 24, 28, 29, 30, 46, 47]",295.7431317883815,127,71
"[2, 8, 13, 18, 25, 28, 43, 45, 47, 48]",458.8027898781785,106,16
"[0, 2, 6, 16, 18, 21, 24, 27, 36, 40]",458.8027898781785,107,15
"[0, 2, 3, 7, 10, 24, 28, 30, 32, 46]",295.1948509036023,150,107
"[0, 1, 3, 16, 18, 22, 24, 29, 30, 45]",310.94211679989576,117,45
"[0, 1, 3, 16, 18, 26, 28, 29, 30, 45]",339.94852551526094,120,41
"[0, 1, 4, 5, 7, 25, 28, 30, 32, 49]",280.1660222082614,155,126
"[0, 1, 3, 16, 18, 19, 22, 24, 29, 30]",335.08954027244715,115,43
"[0, 1, 4, 16, 18, 19, 25, 28, 29, 35]",377.0053050024628,124,36
