solution,f1,f2,f3
"[0, 1, 2, 4, 29]",586.9829639776609,338,197
"[0, 1, 2, 4, 30]",669.7701098138077,282,134
"[0, 1, 2, 4, 36]",697.1836200026504,238,69
"[0, 1, 2, 5, 29]",597.8662057684813,292,204
