solution,f1,f2,f3
"[3, 15, 19, 26, 36]",502.6778292306117,250,91
"[4, 14, 15, 26, 49]",561.6262102145874,222,67
"[8, 20, 24, 33, 42]",617.0291727301068,217,36
"[1, 5, 9, 27, 31]",582.0601343503951,216,54
"[0, 19, 24, 36, 48]",673.5465833927153,215,55
"[3, 13, 22, 38, 45]",468.0106836387392,271,142
"[1, 2, 6, 23, 33]",560.1473020554504,226,56
"[2, 13, 24, 30, 43]",442.7640455140864,252,205
"[3, 13, 20, 32, 45]",458.8027898781785,300,174
"[11, 21, 23, 38, 47]",604.6329465055638,229,47
"[4, 14, 24, 30, 34]",447.8236259957708,278,183
"[4, 7, 18, 24, 30]",435.0413773424317,285,222
"[6, 14, 21, 25, 30]",503.0089462425097,234,106
