solution,f1,f2,f3
"[7, 14, 23, 29, 49]",415.1204644437564,242,120
"[2, 11, 12, 27, 40]",481.1330377348868,204,8
"[13, 20, 23, 29, 49]",415.1204644437564,233,129
"[2, 17, 19, 23, 29]",458.8027898781785,209,22
"[13, 23, 28, 33, 49]",423.16190754839926,250,112
"[1, 4, 14, 27, 29]",379.969735636932,259,160
"[14, 23, 29, 45, 49]",412.1371131067912,253,147
"[15, 20, 23, 30, 49]",422.4133047147071,237,127
"[13, 23, 29, 45, 49]",412.50696963808986,247,148
"[4, 14, 27, 29, 46]",377.0053050024628,281,210
"[3, 7, 12, 27, 29]",442.7640455140864,229,104
"[3, 12, 15, 27, 30]",450.6994564008259,227,83
"[3, 10, 15, 27, 30]",441.83481076076384,241,125
