solution,f1,f2,f3
"[0, 16, 18, 21, 26, 28, 29, 30, 45, 49]",402.61271713645607,109,25
"[0, 1, 3, 16, 24, 28, 29, 30, 41, 46]",305.8512710452582,122,69
"[0, 1, 3, 16, 18, 22, 24, 29, 30, 45]",310.94211679989576,117,45
"[0, 1, 4, 5, 7, 26, 28, 30, 32, 49]",287.758579368192,155,124
"[4, 6, 7, 13, 27, 28, 31, 43, 45, 47]",377.0053050024628,113,36
"[2, 3, 10, 17, 20, 25, 28, 29, 36, 41]",287.4717377412952,160,115
"[0, 5, 6, 7, 16, 24, 28, 29, 30, 46]",503.0089462425097,110,20
"[1, 3, 13, 20, 22, 25, 29, 30, 43, 45]",373.048254251377,116,40
"[0, 1, 16, 18, 19, 24, 27, 29, 30, 49]",336.0014880919428,113,41
"[2, 3, 10, 17, 24, 25, 28, 29, 35, 45]",285.112258592997,166,148
"[0, 1, 3, 6, 16, 24, 28, 29, 40, 45]",298.41246622753545,126,67
"[0, 1, 3, 16, 18, 22, 25, 29, 30, 45]",318.5231545743574,118,42
"[3, 10, 15, 18, 20, 25, 28, 31, 43, 45]",394.97848042646575,112,34
"[0, 1, 4, 8, 20, 26, 28, 30, 41, 49]",280.1660222082614,169,131
"[0, 1, 3, 16, 18, 19, 22, 24, 29, 30]",335.08954027244715,115,43
"[0, 2, 3, 7, 10, 24, 28, 30, 32, 46]",295.1948509036023,150,107
"[0, 11, 16, 19, 22, 24, 29, 30, 45, 49]",344.05232160239814,121,38
"[0, 1, 3, 6, 16, 21, 25, 28, 29, 35]",301.08636634693374,128,66
"[1, 4, 13, 18, 19, 22, 24, 29, 30, 43]",377.0053050024628,111,38
"[0, 3, 11, 16, 24, 28, 29, 40, 46, 47]",295.7431317883815,127,71
"[0, 4, 16, 20, 28, 29, 30, 45, 46, 47]",555.4394656485979,108,21
"[8, 13, 18, 21, 25, 28, 43, 45, 48, 49]",383.31710110559897,117,29
