solution,f1,f2,f3
"[0, 1, 3, 6, 16, 21, 25, 28, 29, 36]",301.08636634693374,128,66
"[0, 2, 3, 5, 7, 10, 25, 28, 30, 32]",287.4717377412952,150,110
"[0, 1, 3, 6, 16, 24, 28, 29, 40, 45]",298.41246622753545,126,67
"[1, 3, 13, 18, 19, 22, 24, 33, 43, 48]",373.048254251377,115,43
"[0, 2, 3, 7, 10, 24, 28, 30, 32, 46]",295.1948509036023,150,107
"[0, 1, 3, 16, 18, 25, 28, 29, 30, 45]",318.5231545743574,118,42
"[0, 1, 4, 5, 7, 25, 28, 30, 32, 49]",280.1660222082614,155,126
"[0, 4, 16, 20, 28, 29, 30, 45, 46, 47]",555.4394656485979,108,21
"[0, 16, 18, 21, 26, 28, 29, 30, 45, 49]",402.61271713645607,109,25
"[1, 4, 12, 18, 19, 22, 27, 29, 30, 43]",389.8025141016923,111,25
"[0, 3, 11, 16, 24, 28, 29, 30, 46, 47]",295.7431317883815,127,71
"[3, 8, 10, 18, 20, 22, 27, 31, 43, 45]",426.4317061382749,114,24
"[1, 4, 12, 18, 19, 22, 27, 33, 43, 48]",389.8025141016923,110,28
"[0, 11, 16, 19, 22, 24, 29, 30, 45, 49]",344.05232160239814,121,38
"[0, 1, 3, 16, 18, 22, 24, 29, 30, 45]",310.94211679989576,117,45
"[4, 6, 7, 13, 27, 28, 31, 43, 45, 47]",377.0053050024628,113,36
